user,rating,content,votes,time
炎樱,推荐,读《活着》的过程我很平静，除了有庆献血而死的描述让我呼吸急促。在那个年代像福贵式的悲剧小人物多如牛毛，他们愚昧，勤劳，坚强，隐忍，他们被时代的洪流裹挟着无法喘息，唯有努力活下去才能活下去。福贵的悲哀是每一个中国人的悲哀，谁都无法幸免。第一次读余华，他看似沉重冷静的描述却字字见血。,16895,2013-10-09 12:27:14
拎北闲闲没代志,力荐,读起来太顺畅，经典就是经典,13660,2014-07-27 17:33:01
飞飞,力荐,看见了人生悲苦，看见了底层人民的乐观和坚强，看见了生命的柔韧，看见了命运和岁月那不动声色的力量。,7420,2014-04-12 19:46:00
小巩俐减脂中,还行,第一次见序这么多的一本书。（但是三星是更复杂的原因，短评里说不清的原因，不是因为序多……）,4917,2015-07-17 14:01:54
黑点小虎,力荐,在《活着》中，管去世叫“熟了”。最初是福贵的爹“熟了”，初闻不解，后文说道，人死像熟透的梨，离树而落。梨者，离也。,5637,2016-01-30 21:54:19
苏静之,力荐,我看着那条弯曲着通向城里的小路，听不到我儿子赤脚跑来的声音，月光照在路上，像是撒满了盐。,3865,2015-06-22 15:30:28
晴破ㄣ我很好,力荐,“人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着”,2908,2014-08-29 23:19:55
有橘,力荐,像被悶槌重擊的胸口，無法喘息的痛。,2561,2014-11-18 23:33:32
豆友1484677,力荐,意外的好读，应该是我读过的国内小说里最好读的，没有之一。读完一直纠结“有必要这么惨吗！”平静下来想想，确实可能这么惨。只能说，还好改革开放了。感谢邓小平。,2426,2015-04-21 19:15:37
老汉手植石榴树,推荐,眼里看的是别人的故事 心里想的是自己的生活,1902,2013-04-10 17:22:01
暖暖,力荐,朴素的语言描述了福贵的一生，经历了中国的各个时期，内战、人民公社、文化大革命，福贵还活着，陪他经历这一切的人却纷纷逝世，老的、少的，都顷刻湮没在历史中。中文中的这两个字：活着，太贴主题，不是生活，不是苟活，就是活着。,1800,2014-10-29 18:13:00
Kevin Lee,力荐,谁过中国人没有信仰？中国人的信仰就是两个字，活着。,1707,2016-05-17 21:12:19
