user,rating,content,votes,time
小鹿想念书,推荐,写口头做菜那段，绝了！几乎难以超越了！,4999,2012-05-27 21:24:13
Daneestone,推荐,"屌毛比眉毛出得晚,长得倒比眉毛长",3489,2011-02-08 00:25:31
陶者无缰,推荐,我的笔评不了余华。,3591,2011-11-19 08:26:58
囧叔,力荐,盗版真害人。“一乐只能射在床上了” “喝干了黄河以后，”,1854,2012-11-21 11:10:34
神威,力荐,许三观背着一乐去吃面条这个桥段，在高中时把我感动的要死要活，而如今，更触动我的是老年许三观无助的哭泣，到了哪一步，没有安全感都是悬在头上的剑，抚摸喉咙的死神冰冷的手，我现在没有安全感，所以我很理解那种恐惧，要是有了事，不能卖血了，该怎么办呢，配合若干年后阎连科的丁庄梦，别有一番滋味,767,2012-05-28 13:58:12
伊坂捅太郎,力荐,看完了非常想吃炒猪肝喝黄酒,686,2010-12-23 18:51:44
阿狸咖哆,力荐,印象最深的几个片段，一是许三观给受批斗的许玉兰送饭，之前打打闹闹，吵吵嚷嚷，日子过得不情不愿。危难时候给许玉兰送饭的却还是许三观。白米饭下藏着满满的红烧肉。还有叫魂的时候，他明明不愿意答应许玉兰，最后还是把一乐叫到跟前，说，做人要对得起自己的良心。,510,2015-09-22 03:24:44
我不是盆栽啊,力荐,一部不那么惨烈的≪活着≫。不管是卖血还是别的途径，中国人的确都是如此活过来的。一生艰难奔波，却只完成了最基本的生活。可是这一本并没有那种绝望，更多的是悲悯和怆然。但是看似有希望并不代表真的有。生命加载的沉重，并不是走得快一点就能卸下的。反而会因为奔波而累加。到头来并没有换来什么，只是活着而已。世界崩塌了，不是轰隆巨响，而是一声唏嘘。,521,2011-10-15 00:13:20
你看起来很美味,力荐,我觉得这是余华写过的最好的书。看完之后，我觉得难受。说不清楚为什么，就像胸口突然堵了一块大石头,417,2012-05-11 18:20:19
寒汐,推荐,读余华的小说总是有一种后怕，他笔下的那个世界如此荒谬，却曾脱胎于真实，其中的人们浑然不觉。那如今我们所生活的这个世界呢，又有多少荒谬是从未被察觉的。,396,2016-05-25 21:01:35
丁一,力荐,"“猪肝先是切成片，很小的片，然后放到一只碗里，放上一些盐，放上生粉，生粉让猪肝鲜嫩，再放上半盅黄酒，黄酒让猪肝有酒香，再放上切好的葱丝,等锅里的油一冒烟，把猪肝倒进油锅，炒一下，炒两下，炒三下……",364,2014-06-22 11:14:49
锐利修蕊,推荐,余华在小说的结尾又一次写到那句“屌毛出得比眉毛晚，长得倒比眉毛长”，好像和开头的“无知”作呼应。结尾处理的轻描淡写，但余华的小说往往是结尾升高了一个“立足点”然后一呼百应，扇的现实讲不出话。故事的最后，许三观像一个孩子那样伤心的哭了，原因是他的血不再重要。这看似是对年老无用的讽刺。新的血头那一番话刺激的他害怕极了。他并不是为了卖不出血而难过，而是怕了往后不生不死的无情日子里，再也没了挽救方法（卖血）而对未来生出恐惧。历史急促向前。余华在外文版里说了那个富足社会里卖血供求关系的灵感来源。写这样一个故事更是对人本质欲望泯灭探寻。小说里坏人死了反倒是件轻松的事，现实世界比卖血市场还畸形。人好好活着是不可能的，一波又一波比死还难受的事情催促着你不断卖脸，卖血，甚至卖命。到头来却换一个“无用”的名声。,285,2015-05-29 16:10:54
芥末蘸酱,力荐,"人啊人,一世人,要安怎欢喜,过春夏秋冬.",231,2010-08-07 17:24:17
筷喜旺,推荐,真是心疼死许三观了，每次看见他卖血就怕他会不会死了，更怕三个儿子变成小白眼狼。但是就和他讲何小勇那段似的，好人有好报的。（最喜欢看他和一乐的故事了，最喜欢给何小勇喊魂那段，简直扬眉吐气）,210,2015-01-13 04:07:03
项梓,还行,从许三观、活着到兄弟，余华的雄心就是用小人物写大历史啊。,189,2011-03-20 08:42:13
蔓蔓·`ω´·,推荐,一边想笑一边想哭,157,2010-12-19 08:03:54
小巩俐减脂中,较差,发自内心地觉得余华一系列作品，比如《活着》和这部，其中的人性悲剧都非常虚假。这个事情也许是真实的，就是感觉余华描述这件事情时候的情感非常虚假，不落地的同情和不真实的共鸣，特别的刻意做作。讲真还不如路遥。,75,2016-03-16 23:16:05
杜边生,无,我要吃猪肝,81,2007-11-17 04:55:42
乌兰巴托的夜,力荐,多年以后，我还能清晰记得饥荒之年，许三观过生日时他们一家人在床上吞口水畅想许三观“用嘴炒出来的美食”的桥段，这才是真正的很有爱,93,2010-01-14 14:27:43
伯爵在城堡,还行,如果一个人要靠卖血才能养家糊口，必是人生的悲剧。但如果有一天他生了病，连血都不能卖了，人生又当如何呢？,71,2012-04-21 15:29:09
mibo lost,无,你们记住，等你们长大，你们去把小勇的两个女儿强奸了。——当时我就。。。,74,2011-08-08 18:48:51
夏夏夏夏夏夏夏,力荐,像是树下乘凉卖水果的老大爷在给我讲他一个表亲的故事。我吃着雪糕坐在树下，故事让我很不舒服，却忍不住想要听下去。他讲了好久，光线却一直都是傍晚。,50,2010-07-27 10:38:55
胡铁梅,力荐,心一点点地沉下去，但不至到底~,40,2007-09-12 12:46:03
辄馨,无,检验了kindle～原来“感情深一口闷”的典故从这里出来的,45,2011-06-29 20:24:23
上界司命,推荐,竟是圆满结局,36,2009-02-07 08:24:12
丝绒陨,力荐,温情吗？我觉得是冷叙述。,32,2008-09-09 10:23:07
新村萌香,推荐,看的时候惊骇不已，为那时苦难的中华人民。,41,2010-09-26 23:56:13
麓童 |  无邪气,推荐,3:地铁2个半小时，就是好读，非常喜欢的故事。我怎么觉得卖血记比活着更棒。,33,2014-02-11 23:01:43
于老板helio,力荐,写小人物的生活却不加以知识分子惯用的嘲讽与居高临下，而是冷眼看待这个操蛋的体制，命运捉弄的许三观，人文情怀的余华,25,2012-06-25 23:14:21
文泽尔,推荐,和《贫嘴张大民的幸福生活》有些相似之处。或者也可以说，整个片子有向着盖里奇致敬、或者兼有在路上式电影的驱使。小人物的献血长征路，整个一出活生生的荒诞剧，将体制中的弱势勾勒得鲜血淋漓。最后，卖血却不能为自己，因为血像油漆一样了，悲凉，荒谨。,15,2007-09-19 15:35:18
麋鹿橙,还行,大白话写作方式 有趣幽默大过于故事性 现在看来倒像是豆瓣的软文 故事形态到后来也变得略牵强 特别是最后的几次卖血经历 神来一笔的最后一句：屌毛出得比眉毛晚，长得倒比眉毛长。,14,2013-08-20 11:45:26
青初,力荐,生活本该平凡又真实.,14,2012-06-10 23:00:45
李卡,无,我觉得许三观的故事真实得接近于生活！而且非常具有中国特色，特别是中国的农民特色！,7,2007-12-15 22:09:18
徐若风,力荐,比《活着》更好看，更深刻。,12,2013-07-06 16:21:39
放开那个西红柿,力荐,余华总能够轻描淡写的把一些东西写的很简单，直白，不晦涩，但是却可以说的深刻，深刻的仿佛能够把刀子刻在人的心上一样。虽然这本书里的许三观没有活着里面的富贵那样悲惨，但是平凡的一身的精力刻在了每个平凡人的身上，闪闪发光。,22,2010-06-23 10:01:41
刘教练,推荐,我又相信爱情了！,11,2016-06-30 23:19:41
E,推荐,“一盘炒猪肝，二两黄酒” 当我在上海念书的时候，余华的故事离我的生活特别远，主人公的生活状态不仅是极端的悲苦，甚至是荒诞得脱离现实。离家约万里时细细品读，却觉得那样的卖血故事、朴素的挣扎，就近在咫尺。作为一个爱看故事的人，喜欢小说家余华大于他的其他角色。他应该是一个皱着眉头抽着烟改稿纸的小说家，而不是一个扬着眉毛把批判的话滑来滑去的时评家。他自己也说了，那本China in Ten Words刚出版就是一本旧书。所以为什么要去写旧的东西，而不是把人物、关系、感情和时代的关系通过故事凝固下来呢。,16,2011-10-28 09:21:53
。琳小战士,推荐,沉重又朴实的爱贯穿在许三观一辈子一次又一次的卖血，许三观拧巴却纯粹，无论是一乐还是卖血这件事情，从一而终的坚持，你看得见的生活。这本是一口气看完的，尽管把那几个尴尬的时期浓缩在一家人身上，还是没有而后那几本来得沉重。,8,2013-10-30 09:16:24
佳浩和他的朋友,力荐,用轻佻的笔触让历史的怪诞和现实的不可思议跃然纸上，“卖血”大致可以理解为生活中的光明与希望，而许三观前十一次的卖血经历和最后一次因为自己老了而卖不出去血，也使得他知道自己唯一能挣扎于现实、救赎自我和亲人的手段再也回不来了。,9,2011-12-29 11:19:14
左思,无,大学时代读过,6,2006-12-29 13:12:06
自在渍,无,"某老师吐血推荐。看了以后就那样，也许是我沉淀不够。09.10.10
在献血证上攒了1000cc后我又想起了这本书……",10,2009-10-10 07:02:51
就不验证手机号,力荐,许三观是个真正的傻好人。,11,2011-07-01 10:34:49
逆流河,力荐,余华的书没有不是一口气读完的，三点多的晚上拿起Kindle开始看这本书，六点多才颤巍巍地看完。读来最不费力的国产小说作者,7,2021-02-04 09:43:27
pirouette,推荐,小时候读过这本书里面许三观用话给他们做菜的那一段，印象特别深刻。这次是听喜马拉雅上面的语音书，目前为止听过最赞的中文语音书，感觉和书融为一体,15,2015-06-09 06:30:04
水仙操,推荐,“一盘炒猪肝，二两黄酒。黄酒给我温一温。”,7,2010-12-07 21:35:49
孤独灿烂的神经,还行,"五点感想： 
　　 
　　1、跟《平凡的世界》一样，结尾结得我莫名其妙。 
　　 
　　2、主人翁终于没有死，主人翁的亲人朋友也没有死，这在余华和同年代的其他作品里真是不常见，看到结尾许三观没有卖血死掉真是松了一大口气。 
　　 
　　3、语言实在是“平易近人”。 
　　 
　　4、好想吃爆炒猪肝。 
　　 
　　5、那个混乱的年代终于过去，作为没有经历过那个年代的我们这些平凡人来说，小说没法带给我们切肤的痛，但我们依然要永远谨记那个黑白颠倒的年代，为我们的未来照亮明灯。",5,2013-06-12 21:40:54
Koji,力荐,饥荒、文革、上山下乡。出轨、性丑闻、疾病。历史悲剧和个人悲剧交织放大，但坚韧、善良的老百姓却有自己虽凄惨却智慧的生存之道。,5,2008-08-01 18:31:00
我是崔健,力荐,在一堂昏昏欲睡的数学课上，我用右边的胳膊靠在旁边的空椅子上，左手一页一页地翻着，在上课铃打响前，终于一口气读完了它。结局没有想象中那么震撼人心，只是平平淡淡的，就像生活，也像一堂课的终点。把它放下，我怅然若失地看着黑板，她正在比划着什么，我不知在想些什么。忽然，我低头发现，书上有一滴血，我还以为是红笔油，伸手一摸，再看看自己的手指，不知是在哪刮出个口子，正流着血，它要是没有淌下来，我还感觉不到，这没什么的，我知道的。但那胳膊不听使唤了，我没了力气，开始头昏了，或许快睡着了,5,2016-03-14 22:10:31
岸辺☆扑克,力荐,初中看的  记得特别怕像活着里面的情节 这么多年结尾最后一句话记忆犹新...,7,2010-09-11 18:57:20
张眼,推荐,余华的叙事与谋篇布局技巧在这一部里要成熟得多，然而“叙事的欺压”也因此产生了。,3,2015-12-27 21:39:20
眠去,推荐,无奈。,3,2007-02-10 11:07:20
三蝶纪,力荐,起了个大早一口气看完了，好书什么时候看都不嫌晚。的确如李童鞋说的比活着还好。字里行间是荒诞的黑色幽默，记录了各个时代的辛酸往事。,11,2012-05-09 08:53:45
毛利,还行,"该作家喜欢把生活最丑那面翻出来给世人看,这是他的兴趣.",6,2006-11-21 19:34:00
虾坨坨艺仔,推荐,除了《活着》以外，余华叙述里的距离感似乎都把握的没那么到位。读的时候想起来这本书还是初中时隔壁班的朋友推荐给我的，如今他也已经病故多年了。生活啊。,4,2016-10-04 20:22:27
阅微草堂,很差,沾血的馒头，和卖血同样，脱去皮，就是鲁迅；抄书公，让我怎么说你啊！！余华，回家抱孩子把，谢谢你了，类似于鲁迅的什么书来着了？？我想不起来了,6,2012-01-11 01:27:38
橙色D,力荐,牛逼，余华在德国后记谈到汉语被权利污染的问题也很牛逼,3,2017-10-01 00:48:42
海是没有颜色的,力荐,一个好人的一生，目前为止读过的余华最感人的一部小说。除最经典的“炒菜”之外的几个细节：许玉兰被批斗时送饭偷偷把菜藏在下面；背着一乐去吃面条；卖血前在江边喝冷水。又温暖又凄凉。,4,2020-10-12 18:56:41
氵丶丿丶丨丶丨,较差,可能先读了《活着》吧，读这感觉很差，小学生的长篇作文一样。,5,2007-09-29 16:58:50
三本雅明,力荐,结尾竟然是有希望的,2,2016-11-03 16:45:45
伪豺™,力荐,当年傻逼的语文老师苦逼推荐的···,3,2011-05-10 01:55:48
